content_id,video_title,publish_date,duration_sec,avg_view_duration,avg_perct_viewed,subs_gained,subs_lost,likes,comments,views,watch_time_hrs,subscribers,impressions,ctr,conversion_rate,month_year,engagement_rate
MdfRZo0zOn8,Priyanka Chopra is a fan of Stuffed parathas #paratha #priyankachopra #shorts #shortsfeed,2024-08-04,11.0,11.0,100.62,1,0,15,0,722,2.1582,1,1299,3.39,0.1385041551246537,2024-08,2.08
3DtZ8P6RJBA,Obsessed with this song!#healthierecipes24,2025-04-11,53.0,20.0,37.88,1,0,20,0,1691,4.4033,1,814,1.97,0.0591366055588409,2025-04,1.18
OVM5EjROmTQ,Sachin Tendulkar cooks Baingan ka Bharta #sachintendulkar#bainganbharta#shorts #shortsvideo #foodie,2024-08-06,57.0,26.0,45.62,3,0,19,0,759,5.2728,3,1892,2.75,0.3952569169960474,2024-08,2.5
Rrrt_YnGrJk,Oats Banana Pancake🥞#pancake #healthybreakfast #shortsfeed #foodvlog #food #breakfast,2024-05-23,43.0,19.0,44.85,1,0,15,0,713,3.8,1,2577,1.94,0.1402524544179523,2024-05,2.1
4ztMsD6DjXk,MIX SABJI Pakoda !#shorts #pakora #easyrecipe #food,2024-01-16,50.0,15.0,31.03,5,0,21,0,668,2.8758,5,525,0.76,0.7485029940119761,2024-01,3.14
ul11JWtmx1s,Tricolour Idli🇮🇳|Independence day special #independenceday #tricolor#recipe#shortsviral #shorts,2024-08-14,50.0,26.0,53.01,2,1,14,0,711,5.1267,1,4174,1.58,0.2812939521800281,2024-08,1.97
Uos62tI9WZg,Radhika Apte loves Modak! #healthierecipes24 #radhikaapte #modak #food #shorts,2025-01-27,52.0,24.0,47.15,0,0,9,0,734,4.5871,0,8658,0.87,0.0,2025-01,1.23
tyDLtf11WTc,Bhootnath lovess Aloo Paratha 😋✨#bhootnath #amitabhbachchan #banku #foodie#alooparatha,2024-08-02,40.0,27.0,68.53,0,0,18,0,701,5.169,0,988,4.15,0.0,2024-08,2.57
hahRYKb8o8M,✨Mukhwas recipe ✨ #healthierecipes24 #mukhwas #recipe #cooking #shorts,2025-11-13,48.0,24.0,51.13,0,0,16,1,1903,5.0567,0,503,3.18,0.0,2025-11,0.89
tJC685EIhqQ,"Sabji saga: Bite 2 =""easy Beetroot"" ✨#healthierecipes24 #sabjisaga #shorts",2025-02-13,51.0,25.0,49.69,0,0,15,0,676,4.666,0,1255,2.39,0.0,2025-02,2.22
tnGc6TFk5gk,Easy Cheesy Kabab #healthierecipes24 #harabharakababrecipe #cheesy #easy #shorts,2025-12-24,106.0,25.0,23.89,0,0,27,1,1681,5.341,0,603,3.32,0.0,2025-12,1.67
6jwYUXRDoEQ,Viral Masala Eggplant#healthierecipes24,2025-12-26,56.0,21.0,38.74,1,0,26,1,1567,4.4934,1,383,3.66,0.0638162093171665,2025-12,1.72
NeENl77QEcc,Instant Butter Murukku  #food#asmr #recipe #murukku #shortsvideo,2024-09-03,59.0,31.0,53.81,3,0,13,0,688,5.9748,3,1073,0.93,0.436046511627907,2024-09,1.89
diBClT0xsLk,I Made the Cutest Gnocchi On Earth,2024-11-14,60.0,24.0,40.68,2,0,19,0,679,4.4953,2,6928,1.41,0.2945508100147275,2024-11,2.8
IQ1HL2HiKUo,(LEFTOVER)Rice✨#shorts #leftoverricerecipe #subscribe #share #food #support#thanksguys,2024-02-03,35.0,19.0,55.09,0,0,11,0,666,3.5671,0,463,1.08,0.0,2024-02,1.65
Trhou5fI3wI,The Secret Side of Indian Diplomacy#shorts #jaishankar,2024-12-12,57.0,15.0,27.67,0,0,15,0,728,2.9139,0,3126,2.62,0.0,2024-12,2.06
jjHHC1Ixxic,Vegetable Stew#coconutmilk#viral#youtubeshorts#trending#ytshorts#india#shortsvideo#shorts#stew,2023-12-29,40.0,19.0,49.07,0,0,17,0,646,3.3953,0,1127,1.86,0.0,2023-12,2.63
DGpvjCrvAP0,Do you guys like Papdi chaat??✨🔥#food #kritisanon #bollywood #chaat #shorts #chaats,2024-10-24,15.0,12.0,80.88,0,0,17,0,700,2.1688,0,2833,2.79,0.0,2024-10,2.43
3_UAXth3jGY,♥️Navratri Day 6| Honey🍎 Halwa #shorts#honey#applehalwa#food#navratrispecial,2024-10-08,54.0,20.0,38.67,0,0,15,0,716,3.8364,0,1514,9.18,0.0,2024-10,2.09
vge7iOU-WFk,Indian cricketer Ajinkya Rahane love Pithla Bhakri✨☺️ #food #indiancricket #pitlabhakri #shorts,2024-10-22,29.0,14.0,50.6,1,0,15,0,679,2.6289,1,1482,5.13,0.1472754050073637,2024-10,2.21
Lxt6lC1d6bQ,AP DHILLON & Shinda try city version of saag#healthierecipes24 #apdhillon #shindakahlon #shorts,2025-01-13,59.0,20.0,35.11,0,0,14,0,661,3.657,0,2608,2.76,0.0,2025-01,2.12
pF58n2rvoBU,Natural sweet☑️ Refined Sugar❌#healthierecipes24 #naturalsweetner #food #shorts #recipe,2025-03-10,35.0,17.0,49.77,1,0,9,0,665,3.0467,1,604,2.15,0.150375939849624,2025-03,1.35
