Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
c578WMYsLBs,KGF Star YASH loves Puliyogare #kgf #melkote #puliogare #rockingstaryash #shorts,"Dec 11, 2024",61,0:00:23,38.93,,0,0,16,0,1067,6.4752,0,4901,2.57
JJc_V-Wchy0,😳Vidya Balan's favourite South Indian dish#vidyabalan #bollywood #southindian #shorts#shortvideo,"Jul 13, 2024",41,0:00:21,51.75,,0,0,17,0,1025,5.7425,0,4202,2.88
sG1rBgBR4t0,Sugarless Kheer ✨#suji #kheer #shorts#jaggery #semolina,"Dec 20, 2023",40,0:00:24,60.04,,3,0,17,0,985,6.5186,3,1497,1.67
DEChGsFPhtM,VIRAT Kohli says Visualization is powerful ✨😍 #visualization#viratkohli #banglore#dosa #shorts,"Nov 15, 2024",41,0:00:15,36.99,,0,0,14,0,962,3.8803,0,2204,3.45
nnBLYIZFdfo,Turnip Noodles #kohlrabi #turnip #food #fitgreenmind #healthierecipes24 #shorts,"Dec 19, 2024",20,0:00:13,65.34,,4,0,22,1,1091,3.5318,4,6266,3.69
UBYbQBBiJws,Crunchy Poha ✨#healthierecipes24 #crunchypoha #shorts #snacks #trending,"Nov 7, 2025",48,0:00:23,49.38,,2,0,21,0,2093,6.5566,2,431,2.32
l4GUyO1PCqs,✨Sonam Kapoor's favourite childhood breakfast😍✨#sonamkapoor #shorts #seyalbread #healthierecipes24,"Nov 24, 2024",43,0:00:17,40.35,,1,0,11,0,935,4.3855,1,3335,2.82
0nXedFapdjw,"Sabji saga: Bite 3 = ""Bharda palya"" #healthierecipes24","Feb 18, 2025",55,0:00:33,61.26,,1,0,15,0,1173,8.8921,1,5559,4.23
NhUEoYwxlv0,🤩Deepika Padukone loves South Indian food♥️🍛 #food#deepikapadukone #shorts,"Oct 28, 2024",23,0:00:15,68.43,,0,0,15,2,940,3.8643,0,16611,1.28
MSvFTG2P7ic,🔥Korean Kimchi Ramen🍜 review#nissinramen #topramen  #koreankimchi #shorts,"Aug 16, 2024",47,0:00:26,57.28,,0,0,26,0,845,6.3048,0,1737,3.63
dIo7QxijMt8,White popcorn#shorts #jowar #sorghum #whitepopcorn #saiyaara #healthierecipes24,"Jul 27, 2025",59,0:00:29,49.17,,3,0,27,0,1813,7.1676,3,2514,4.46
